,始値,終値
2018-06-02,22935.727,22911.375
2018-06-05,23349.023,23313.701
2018-06-06,23306.979,23271.766
2018-06-07,23492.69,23447.754
2018-06-08,23576.887,23545.719
2018-06-09,23563.229,23523.553
2018-06-12,23603.965,23565.035
2018-06-13,23732.16,23695.492
2018-06-14,23751.445,23709.926
2018-06-15,23587.924,23548.74
2018-06-16,23671.203,23639.895
2018-06-19,23498.621,23466.75
2018-06-20,23159.074,23137.291
2018-06-21,23442.688,23406.479
2018-06-22,23473.9,23432.588
2018-06-23,23334.217,23288.795
2018-06-26,23183.102,23160.54
2018-06-27,23213.818,23179.252
2018-06-28,23069.37,23048.898
2018-06-29,23130.332,23099.26
2018-06-30,23130.768,23101.365
2018-07-03,22620.307,22613.055
2018-07-04,22755.938,22744.512
2018-07-05,22163.547,22143.3
2018-07-06,22116.412,22107.947
2018-07-07,22238.906,22227.713
2018-07-10,22598.975,22568.95
2018-07-11,22610.707,22595.334
2018-07-12,22499.807,22467.764
2018-07-13,22633.566,22619.104
2018-07-14,23116.012,23086.084
2018-07-18,23128.037,23092.607
2018-07-19,23302.643,23268.398
2018-07-20,23242.41,23216.96
2018-07-21,23216.299,23188.652
2018-07-24,22851.11,22827.873
2018-07-25,23066.137,23044.432
2018-07-26,23016.7,22994.926
2018-07-27,23110.084,23079.758
2018-07-28,23154.58,23126.254
2018-07-31,23051.445,23020.281
2018-08-01,23018.662,22991.887
2018-08-02,23243.416,23213.344
2018-08-03,22941.105,22918.117
2018-08-04,23062.72,23039.328
2018-08-07,22978.578,22957.8
2018-08-08,23160.23,23128.822
2018-08-09,23090.598,23062.07
2018-08-10,23145.047,23108.545
2018-08-11,22726.832,22717.305
2018-08-14,22475.03,22464.496
2018-08-15,22829.459,22811.197
2018-08-16,22664.467,22644.127
2018-08-17,22721.307,22678.82
2018-08-18,22719.162,22701.633
2018-08-21,22687.81,22669.912
2018-08-22,22694.91,22671.473
2018-08-23,22852.201,22822.459
2018-08-24,22857.969,22830.39
2018-08-25,23059.059,23030.047
2018-08-28,23280.176,23245.844
